オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
重複当選でもない限り、50万人も抽選してないと思うんだけど"
エンタメが多過ぎ 私には無用なエンタメが多過ぎる。こんなのニュースでもなんでもない。
プッシュ通知 "iPhone SE2のプッシュ通知設定が出来ないのは何故でしょうか？
プッシュ通知設定にスマートニュースの項目がない。"
"リーディングリストに追加 の確認はいらない" "何個前のアップデートからか、Safariのリーディングリストに記事を追加する際に、
「追加する」の確認ポップアップが出る仕様になり非常に不便だ。
OS側が原因なのか、アプリ側が原因か。
以前はその選択は要らなかった。
1タップ余計なだけでここまで不便かと実感している。
もうこの仕様になってからしばらく経つが、アップデートを何回か待っても改善されないので
レビューに反映した。"
横浜市にカジノを誘致する林文子市長 "えっ、私の生まれ育った横浜にカジノを誘致するって言うんですが。

女学校がある横浜に、カジノは絶対ダメですよ。

市長は、女性でありながら夫もお子さん、お嬢さんもいるかたなんですよ。
　まず、母親である市長が財政工面の為に海外からカジノ誘致するなんて風紀乱れること心配しないのかしら？
